_id,results,sentiment
6328d1dec406f1fba4cca043,casket carri chapel ground ofwindsorcastl servic thousand peopl turn pay respect monarch serv year king goodby queen coffin seen public final time,0
6328d1dec406f1fba4cca044,ich mus zugeben ich war streckenweis fasziniert von der zeremoni die beerdigung der queen ich sah einen teil von meinem thron au,0
6328d1dec406f1fba4cca045,watch queen carri step get super anxiou bed,1
6328d1dfc406f1fba4cca046,weird feel come queen england gone queen meme turn phrase like like queen come good natur joke corgi amp bright color dress amp hat world drastic chang,1
6328d1dfc406f1fba4cca047,queen inspir devot respect love never deliber sought rhiannon mill news,1
6328d1dfc406f1fba4cca048,although funer alway provok memori person mourn wonder watch today proceed memori queenelizabethii lord pray queen rest peac rise glori pray mourn amen,0
6328d1e0c406f1fba4cca049,confus middl age american woman know seem take queen death person like get big deal world know buddi think alright,0
6328d1e0c406f1fba4cca04a,see queen invit time fill,0
6328d1e0c406f1fba4cca04b,deutsch öffentlich rechtlich dem tag dem mrd menschen abschi von der queen nehmen diskutiert man hier darüber sie genügend steuern bezahlt hat und lässt einen sascha lobo darüber labern sie all angeblich nicht gesagt hat ist nur peinlich,0
6328d1e1c406f1fba4cca04c,stream queen funer gotta hard princ william harri reliv walk behind princess diana,0
6328d1e1c406f1fba4cca04d,caterpillar well perhap said queen alic,0
6328d1e1c406f1fba4cca04e,mourner say farewel queen elizabeth report includ talk peopl pay respect work process funer queenelizabethiimemori queenelizabeth queenelizabethii,0
6328d1e1c406f1fba4cca04f,wanna hear anymor queen elton john die,0
6328d1e2c406f1fba4cca050,ukrainian embassi london decid take part tribut queen elizabeth place light project imag queen embassi build howev instead queen elizabeth reason wrote queer elizabeth homosexu gay,1
6328d1e2c406f1fba4cca051,duke sussex princess charlott share sweet moment queen windsor committ servic,1
6328d1e2c406f1fba4cca052,never forget queen power nay rule year nay decad australian aborigin count human skynewsaust,0
6328d1e3c406f1fba4cca053,manag watch first hour queen funer shift one watch kid snuck upstair watch miss afternoon kid gone wild thank twitter catch even saw emma hors,1
6328d1e3c406f1fba4cca054,flight bawdl rout du lhr duesseldorf london heathrow type airbu reg medk oper british airway head alt speed mph squawk spot land lhr aircraft,0
6328d1e3c406f1fba4cca055,brother went pub committ queen elizabeth adorn iraq afghanistan servic medal proud yet somber day nation,1
6328d1e3c406f1fba4cca056,queen claudia birthday,0
6328d1e4c406f1fba4cca057,queen elizabeth laid rest husband famili privat burial servic follow time emot servic westminst abbey young princ georg princess charlott captur world heart sunriseon,1
6328d315c406f1fba4cca058,jinek_rtl queen elizabeth ook peettant van onz kone,0
6328d315c406f1fba4cca059,orgullo nuestra ffaa qué prestancia nuestro gener bbcmundo abcdigit abc_ elpais_america elpais_int telefenoticia telefeprensa nytimes cnnchile cnnee tiktok,0
6328d315c406f1fba4cca05a,sensor escada mon sep gmt british summer time,0
6328d316c406f1fba4cca05b,incred wit state funer process late queen elizabeth life time sight queensfuner queenelizabeth hmqueenelizabethii,0
6328d316c406f1fba4cca05c,queen elizabeth made differ britain world,0
6328d316c406f1fba4cca05d,삼각형 abc의 내심을 삼각형 내부의 등식을 만족한다고 pba pca pbc pcb ai임을 보이시오 부등식의 등호가 성립할 필요충분조건이 i임을 보이시오,0
6328d318c406f1fba4cca05e,spent morn watch queen elizabeth funer differ dope watch glad got opportun see,1
6328d318c406f1fba4cca05f,privat burial ceremoni queen elizabeth take place georg chapel,0
6328d318c406f1fba4cca060,britain world say final goodby queen elizabeth,0
6328d319c406f1fba4cca061,queen world elizabeth last farewel,0
6328d319c406f1fba4cca062,love end histor day wincathedr close act remembr majesti queen perfect way reflect last day felt like long day beauti sing beauti prayer beauti space,1
6328d31ac406f1fba4cca063,fine saw corgi wait queen,1
6328d31ac406f1fba4cca064,pic vice presid profosinbajo san attend funer late majesti queen elizabeth westminist abbey london septemb,0
6328d31bc406f1fba4cca065,mourner line street london queen elizabeth funer,0
6328d31bc406f1fba4cca066,antigua celda del bosqu han sido corrompida por veneno elis tal punto que sólo alaban reina también practican actitud reina tale como secuestrar macho forzarlo tener relacion con ella su preferido ogro invasor rebeld,0
6328d31dc406f1fba4cca067,one thing british monarchi well pomp circumst today visual point queensfuner,0
6328d31dc406f1fba4cca068,m_ebrard poniendo alto nombr méxico como siempr según esto má leído mexican offici slam selfi queen elizabeth funer via mailonlin,0
6328d31dc406f1fba4cca069,one westminst abbey queen funer never forget sad look king charl face,0
6328d31ec406f1fba4cca06a,buri queen jewel,0
6328d31ec406f1fba4cca06b,queen elizabeth laid rest windsor castl,0
6328d31ec406f1fba4cca06c,happi queen dead think stupid still king queen fuck dumb hell system power hand peopl hand peopl tower adorn diamond crown stupid stupid stupid,0
6328d31fc406f1fba4cca06d,love stori queensfuner queenelizabeth,1
6328d31fc406f1fba4cca06e,queen elizabeth ist nun endlich wieder mit ihrem mann vereint und kann nun zur letzten ruhe kommen dear queen elizabeth thank may rest peac legaci live forev queenelizabeth,1
6328d31fc406f1fba4cca06f,live queen laid rest alongsid husband privat ceremoni later hindustan time sourc hindustan time latestnew entertain today newsgrasp,1
6328d31fc406f1fba4cca070,sensor escada mon sep gmt british summer time,0
6328d320c406f1fba4cca071,elizabeth sadli pas away last week world would ye write foreign person british passport yet,0
6328d320c406f1fba4cca072,criticis rahul strike rate debat cricket,0
6328d320c406f1fba4cca073,rabbit ask give fair warn shout queen say,1
6328d321c406f1fba4cca074,femal rapper dis nicki futur gonna ga girl queen mix bewar,0
6328d321c406f1fba4cca075,hat bbcnew past day coverag abid memori viscer reaction stomach thehuwedward first announc king queen consort remain balmor realis crown invis pas instantli one next,0
6328d321c406f1fba4cca076,british friend apolog lack courtesi turmoil caus bolsonaro support queen funer peopl deepli shame elect near brazil soon new govern,1
6328d322c406f1fba4cca077,hon mulambo haimb act minist foreign affair intern cooper today repres hakaind hichilema presid republ zambia state funer late majesti queen elizabeth london,0
6328d323c406f1fba4cca078,western monarch also head cultur church uniqu british thing sinc time holi roman emperor pope papist slur non cathol brit look absurd today,0
6328d323c406f1fba4cca079,mother anger child protect take year remov child properti alleg abus via abcaustralia,0
6328d324c406f1fba4cca07a,meghan markl subtl tribut queen histor state funer ok_magazin,0
6328d324c406f1fba4cca07b,watch live queen reach final rest place windsor youtubeより,1
6328d324c406f1fba4cca07c,wait till end fight knockout instantkarma hoodfight ghettofight gorefight fistfight reveng knockout stab shoot gore gorevid fightvid karma emergencyalert queen queensfuner viral,0
6328d325c406f1fba4cca07d,two kilometr process queen elizabeth monday led four member rcmp music ride repres countri major role funer,1
6328d325c406f1fba4cca07e,mani hudmo like chord progress organ queen funer today kept wait trap anthem kick,0
6328d325c406f1fba4cca07f,queen death taught anyth end world go funni,0
6328d326c406f1fba4cca080,drawthistweet queen elizabeth skydiv heli wait alreadi exist wait realiti,0
6328d326c406f1fba4cca081,,0
6328d326c406f1fba4cca082,royal famili say goodby thousand funer photo,0
6328d326c406f1fba4cca083,queen favourit cocktail sell brit empti shelv day funer,0
6328d327c406f1fba4cca084,dreamt meet queen one day life ever made unfortun dream cut may perpetu light shine upon soul alway rememb prayer mama elizabethii condol royalfamili,1
6328d327c406f1fba4cca085,today count final good buy longest throne queen elizabeth world show support includ nation leader encourag new come king charl lll,1
6328d327c406f1fba4cca086,puerto rico million american citizen water electr news coverag queen royal famili liter fought war,0
6328d328c406f1fba4cca087,privileg abl give first one last bow majesti queen royalfamili kensingtonroy,1
6328d328c406f1fba4cca088,think uni lectur came look realli happi ask smile goe got laid queen,1
6328d329c406f1fba4cca089,watch queen funer amp ask,0
6328d329c406f1fba4cca08a,queen sentenc first verdict afterward stuff nonsens,1
6328d329c406f1fba4cca08b,,0
6328d32ac406f1fba4cca08c,great news queen gulag,1
6328d32ac406f1fba4cca08d,parad street like queen gtfoh,0
6328d32ac406f1fba4cca08e,queen last corgi step say goodby left rest,0
6328d32bc406f1fba4cca08f,coffin mark rip british empir thrown liffey anti monarchi march,0
6328d32bc406f1fba4cca090,queen depart australia becom republ,0
6328d32bc406f1fba4cca091,church want money queen dead boy,0
6328d32cc406f1fba4cca092,love stori queensfuner queenelizabeth,1
6328d32dc406f1fba4cca093,abl watch littl bit histori take place today queen elizabeth laid rest final rest place kid engag inquisit ask could watch tomorrow,0
6328d32ec406f1fba4cca094,wha,0
6328d32ec406f1fba4cca095,stay home way minniestephc meet thousand came bid queen farewel made final journey windsor,0
6328d32fc406f1fba4cca096,unawar fact queen coffin wonder much weigh watch pall bearer carri coffin long distanc even stair westminst abbey feat strength read train,1
6328d32fc406f1fba4cca097,break world medium funer queen elizabeth histori make canadian medium justintrudeau sang song wait line cdnpoli,0
6328d32fc406f1fba4cca098,realffk burial queen elizabeth may god rest soul,0
6328d330c406f1fba4cca099,queen coffin fill air luv,0
6328d330c406f1fba4cca09a,although headlin say queen elizabeth laid rest windsor castl realiti seal coffin kind store somewher royal vault get around finish tomb,1
6328d330c406f1fba4cca09b,new extra death majesti queen elizabeth one minut silenc dave updat visit,1
6328d331c406f1fba4cca09c,peopl cri queen freak reign serious done person affect soooo mani peopl realli understand anyon cri funer cri royal member die india,0
6328d331c406f1fba4cca09d,read symbol break wind know late queen want funer sombr blaze saddl tribut would bit much long day ripqueenelizabeth,0
6328d331c406f1fba4cca09e,gayl king speak mourner queen elizabeth close heaven gonna get,0
6328d332c406f1fba4cca09f,mike myer say queen elizabeth perman part life still gut,0
6328d332c406f1fba4cca0a0,queen pallbear prais composur carri coffin news,0
6328d332c406f1fba4cca0a1,encanta sexo objetivo siempr placer hombr turno conozcámono queen_beexxu,0
6328d333c406f1fba4cca0a2,rememb saw bald patch first time fuckin devast big deal like youth run bu truck could wors could guy walk front queen coffin poor bastard,0
6328d333c406f1fba4cca0a3,first time queen brought someon tear,1
6328d334c406f1fba4cca0a4,david beckham tyson furi pay tribut queen elizabeth day state funer newsw worldnew,0
6328d334c406f1fba4cca0a5,queen,0
6328d334c406f1fba4cca0a6,done comedi show sinc queen die big crowd huge laugh attend trudeau sang piano bar coupl day funer jesu care,1
6328d335c406f1fba4cca0a7,camilla gave subtl nod queen decad dedic servic brooch state funer,0
6328d335c406f1fba4cca0a8,eshaknow call comeback promin egyptologist claim discov lost mummi queen nefert,0
6328d335c406f1fba4cca0a9,last year pay respect queen last second,0
6328d336c406f1fba4cca0aa,saw reassur harri give meghan time walk togeth differ direct,1
6328d336c406f1fba4cca0ab,queen laid rest philip side tonight privat famili servic,0
6328d336c406f1fba4cca0ac,der tod elisabeth wäre ein gelegenheit endlich den fortbestand der britischen monarchi frage stellen doch dafür fehlt noch immer die mehrheit via tazgezwitsch,0
6328d337c406f1fba4cca0ad,queen space,0
6328d337c406f1fba4cca0ae,,0
6328d337c406f1fba4cca0af,royal comment queen faith everyth,0
6328d338c406f1fba4cca0b0,stan queen beauti heart beauti etsanyi tukura queen come beautytukura beenavi,0
6328d338c406f1fba4cca0b1,themusketeersdaili musket knight take queen,0
6328d338c406f1fba4cca0b2,queen funer pictur,0
6328d338c406f1fba4cca0b3,queen gigi,0
6328d339c406f1fba4cca0b4,god save queen,0
6328d339c406f1fba4cca0b5,gbnew day queen laid rest danwootton royal biograph trash harri meghan hatr,0
6328d339c406f1fba4cca0b6,live life abc adventur braveri creativ نمشي نون فوغا فوقا كلوسيت ستاےلے _______________ نمشي نون فوغا,1
6328d33ac406f1fba4cca0b7,jay bhim biutiphul sauth koriyn teelent girl nanci moorland sauth koriyn biutt queen,0
6328d33ac406f1fba4cca0b8,like rough ladi gaga chromatica ball fame monster youtub music remix song ilikeitrough ladygaga queen chromatica fame chromaticabal chromaticaballmiami chromaticaballfilm music remix youtub youtubemus weloveyougaga,0
6328d33ac406f1fba4cca0b9,publicag fit british woman get fuck new gym lol,1
6328d33bc406f1fba4cca0ba,king charl led royal sombr process behind mother coffin final rest place sport sportspanorama,0
6328d46bc406f1fba4cca0bb,agre monarchi realiz histori took place past day hope took time wit queen elizabeth kept promis countri world rest well thank everyth,0
6328d46bc406f1fba4cca0bc,jule jordan year old natalia queen amp first interraci,1
6328d46bc406f1fba4cca0bd,ted bwke franc british fucker scul length wish never nmetbthem,0
6328d46cc406f1fba4cca0be,bark want queen decid ignor fave give goat scholarship timelin continu wallow foolish beautytukura bbnaija,0
6328d46cc406f1fba4cca0bf,today funer process late queen show world make great britain great nobodi well british armi royal navi royal marin combin hundr year royal tradit protocol wit today godsavethek,1
6328d46cc406f1fba4cca0c0,live life abc adventur braveri creativ نمشي نون فوغا فوقا كلوسيت ستاےلے _______________ نمشي نون فوغا,1
6328d46dc406f1fba4cca0c1,wait youtub ghost hunter psychic intuit peopl start talk queen othersid pas away know view queensfuner queenelizabeth ghosthunt psb lie,0
6328d46dc406f1fba4cca0c2,god bless queen love memori directli touch live swindon england educ oxford domain,1
6328d46dc406f1fba4cca0c3,queen laid rest wtf,0
6328d46dc406f1fba4cca0c4,godsavethequeen queen gstqueentoken baa dec fdfbb,0
6328d46ec406f1fba4cca0c5,good get money histor also sad time manitoban pay tribut queen elizabeth laid rest,1
6328d46ec406f1fba4cca0c6,beauti queen rip,0
6328d46ec406f1fba4cca0c7,abc gop sucker live squalor welfar shithol noth ever chang gener gener amp keep vote best interest believ gop lie cradl grave bind hatin amp fearin peopl anybodi white,1
6328d46ec406f1fba4cca0c8,vivo solo per veder condizioni dell unghi della queen ele tra una settimana gfvip gfvipparti gfvip,0
6328d46fc406f1fba4cca0c9,nickiminaj queen word bustin royal regalia rollingloud thequeeninqueen,0
6328d46fc406f1fba4cca0ca,new tax sale properti princegeorg britishcolumbia min tender amount ass valu avail britishcolumbiataxsal canadataxsal taxsaleshub,1
6328d46fc406f1fba4cca0cb,get tire queen elizabeth coverag truli sad move cover displac fellow american puerto rico,0
6328d470c406f1fba4cca0cc,hope queen crown find way back africa,0
6328d470c406f1fba4cca0cd,raga queen sta già donando sacco reaction video fate thread prego,0
6328d471c406f1fba4cca0ce,aww queen littl box get,1
6328d472c406f1fba4cca0cf,ganto pala feel kung sakal jowa loui ldr kame dito talk friend nasa british virgin island know ano feel pag nage jowa loui,0
6328d473c406f1fba4cca0d0,attend meet today one person said cri day watch queen funer griev perhap quick scan make sure indian peopl folk traumat coloni meet,1
6328d473c406f1fba4cca0d1,royal expert signific queen coffin design via nbcnew,0
6328d473c406f1fba4cca0d2,nice commemor servic honour majesti queen elizabeth jude anglican cathedr iqaluit nunavut canada sep queenelizabethii,1
6328d474c406f1fba4cca0d3,get respond collab propos address queen,0
6328d474c406f1fba4cca0d4,queen close behind listen sat jar,0
6328d475c406f1fba4cca0d5,queen capilano arriv horsesho bay vancouv,0
6328d475c406f1fba4cca0d6,queen funer see larg gather world leader,0
6328d475c406f1fba4cca0d7,hour queue queen elizabeth funer british,0
6328d476c406f1fba4cca0d8,mensch david beckham reveal mistak made go see queen coffin,0
6328d476c406f1fba4cca0d9,top jan committe member propos reform elector count act abc news,1
6328d476c406f1fba4cca0da,must say miami excit intermiamicf amp sir david beckham got respect weekend stand line cue hour pay respect queen elisabeth even video messag kati puig recov boat accid,0
6328d476c406f1fba4cca0db,queen funer key moment symbol,0
6328d477c406f1fba4cca0dc,today canada mourn queen want hold space grandmoth leader commun stori eden_fine_day,0
6328d477c406f1fba4cca0dd,royal famili bid final farewel queen georg chapel,0
6328d477c406f1fba4cca0de,rupertbel respect queen one thing total absenc union flag butcher apron culloden mile balmor edinburgh,0
6328d478c406f1fba4cca0df,gfvip unghi della mia queen,0
6328d478c406f1fba4cca0e0,good morn extend warm welcom new follow send support english famili queen elizabeth funer lay rest god bless pic via a_r_tforpeac,1
6328d478c406f1fba4cca0e1,queen funer servic know far attend histor event,1
6328d478c406f1fba4cca0e2,switch busi handl auto pilot mode achiev use autom monday bbnaija championsleagu explos houseofthedragon poshmark queen ukrain viral xiumin_brandnew yoveosalvam phyna𓃵,0
6328d479c406f1fba4cca0e3,queen elizabeth lago assembl want nigerian tradit ruler,0
6328d479c406f1fba4cca0e4,queen buri alongsid late husband princ philip duke edinburgh royal famili said privat burial took place king georg memori chapel even conduct dean windsor rest peac majesti,0
6328d479c406f1fba4cca0e5,presid zimbabw drove african presid queen funer bu presid offici car flown london person use,0
6328d47ac406f1fba4cca0e6,today franconia staff honor queen wear black pearl enjoy spot tea,1
6328d47ac406f1fba4cca0e7,queen funer process westminst abbey full news via youtub move,1
6328d47ac406f1fba4cca0e8,queensfuner queen coffin bearer,0
6328d47ac406f1fba4cca0e9,captain adnan sohail gave tough time bat line dubai titan play brilliant cricket incred striker masohail,1
6328d47bc406f1fba4cca0ea,occas nation record british burden hing beauti brave boy,1
6328d47bc406f1fba4cca0eb,,0
6328d47bc406f1fba4cca0ec,nice hear bbcradiol morn special mention sig sqn impecc time amp synchron funer process late queen proud serv uniqu regt r_signal certa cito,1
6328d47cc406f1fba4cca0ed,pictur tribut majesti queen elizabeth visit peterborough throughout year reign,0
6328d47cc406f1fba4cca0ee,mexican offici slam selfi queen elizabeth funer,0
6328d47cc406f1fba4cca0ef,princ edward know queen elizabeth cousin hollywood life dmaar news,0
6328d47cc406f1fba4cca0f0,cannon blast queen someth hear,0
6328d47dc406f1fba4cca0f1,feel show great class restraint point queen elizabeth dic joe episod featur review flatter depict,1
6328d47dc406f1fba4cca0f2,elenoir queen mia vita regina non vinc lei panico gfvip,0
6328d47dc406f1fba4cca0f3,princ edward know queen elizabeth cousin hollywood life dmaar news,0
6328d47ec406f1fba4cca0f4,detto aspettavo solo queen dell queen gfvip,0
6328d47ec406f1fba4cca0f5,expect never queen deck,0
6328d47ec406f1fba4cca0f6,watch live queen reach final rest place windsor まだライブ配信してる,1
6328d47ec406f1fba4cca0f7,assolutament solo perché dice queen gfvip,0
6328d47fc406f1fba4cca0f8,canadian prime minist kibosh medal celebr queen jubile possibl make thing wors,0
6328d47fc406f1fba4cca0f9,like queen meant resurrect die year go annual holiday,0
6328d47fc406f1fba4cca0fa,queen south,0
6328d480c406f1fba4cca0fb,god imagin begrudg queen grandson nan jubile medal co age serious get fuck grip stop pick kid,0
6328d480c406f1fba4cca0fc,kate middleton princ william pay devast tribut queen elizabeth see,0
6328d480c406f1fba4cca0fd,honour majesti queen elizabeth allow everyon pay respect group masturb cancel midnight sunday septemb monday septemb thank,0
6328d481c406f1fba4cca0fe,treat like queen,0
6328d482c406f1fba4cca0ff,drunk canadian trudeau slam tone deaf embarrass sing queen bohemian rhapsodi london hotel elizabeth state funer via,0
6328d482c406f1fba4cca100,view host ana navarro criticis coverag queen funer amid hurrican fiona,0
6328d482c406f1fba4cca101,cricket sharma lifeno bandaid indecis ٱےهےرب ٱےـهـرب ايهرب _______________ glt,0
6328d483c406f1fba4cca102,cleopatra origin queen bae psshare,0
6328d483c406f1fba4cca103,featur art day queen buy,0
6328d483c406f1fba4cca104,shit queen ask question today,0
6328d484c406f1fba4cca105,queen elenoir deve vincer,0
6328d484c406f1fba4cca106,beauti,0
6328d484c406f1fba4cca107,jerri date elain hairdress elain worri use good hair dye break kramer use jerri apart sou vide cook experi georg reveal first celebr crush queen elizabeth younger,1
6328d484c406f1fba4cca108,anyon follow queen funer queensfuner queenelizabethii queenelizabeth queen,0
6328d485c406f1fba4cca109,justin trudeau face critic video queen tribut,0
6328d485c406f1fba4cca10a,wait certain fanbas think dirti girl talk anyhow beauti keep calm make pinki man dont care rubbish queen name collect bbnaija beautytukura𓃵 beautyisback,1
6328d486c406f1fba4cca10b,goodby queen elizabeth,0
6328d486c406f1fba4cca10c,queen farewel make britain proud one day liz truss predict murder second lesson john queen would plea anyon bori read,1
6328d486c406f1fba4cca10d,son queen buckingham palac garden pay tribut love person beauti smile,1
6328d487c406f1fba4cca10e,assolutament mai esser contro queen donna plu gfvip,0
